Row   , SeriesNumber, EventNumber ,    pt_keVee , zip4.PAWKmax, sihv_delay_us
2701,72208301829,30723,0.035724659,8.00E-07,16.69348894
11297,72208301829,130836,0.038254472,8.02E-07,6.400296712
30026,72208301829,350862,0.03618435,7.94E-07,8.980651097
30916,72208301829,370001,0.049425788,8.18E-07,23.14628327
37582,72208301829,440803,0.035576012,7.95E-07,13.01105206
38539,72208301829,460069,0.045617961,7.92E-07,25.24873587
39591,72208301829,470281,0.035066678,8.05E-07,20.66195719
42318,72208301829,500505,0.041488381,8.20E-07,15.43532937
45709,72208301829,540700,0.041440989,7.93E-07,3.237797371
45912,72208301829,550152,0.965356373,8.24E-07,4.188240531
50072,72208301829,590852,0.038738797,8.03E-07,12.38768422
52464,72208301829,620687,0.176197838,8.24E-07,10.95692924
52500,72208301829,620723,0.036108408,8.16E-07,15.07981237
52845,72208301829,630274,0.036271801,8.05E-07,3.045766419
61196,72208301829,730044,0.0350157,8.08E-07,12.99403674
63864,72208301829,760078,0.042857083,7.94E-07,2.085031398
67693,72208301829,800512,0.039725294,8.21E-07,8.592753041
75191,72208302118,20412,0.035770705,8.25E-07,11.54753874
75848,72208302118,30125,0.036935598,8.11E-07,11.39639056
76549,72208302118,30826,0.03901746,7.96E-07,8.365731247
77016,72208302118,40431,0.037592197,7.96E-07,23.95177986
79602,72208302118,70561,0.041577866,8.10E-07,24.25551033
81680,72208302118,100055,0.035926899,8.02E-07,27.03170168
82670,72208302118,110211,0.03500587,8.01E-07,6.85388656
84684,72208302118,130548,0.042535846,7.99E-07,8.777419207
86125,72208302118,150271,0.035970281,7.98E-07,12.12335437
90035,72208302118,200021,0.036043653,7.98E-07,29.26190073
94572,72208302118,250352,0.037132924,8.21E-07,25.95967437
95334,72208302118,260321,0.048085001,8.27E-07,28.0045676
103941,72208302118,360426,0.036293932,8.07E-07,24.22541892
104303,72208302118,360788,0.036520449,7.97E-07,11.07438468
104961,72208302118,370557,0.035685098,8.01E-07,11.52107726
112149,72208302118,450645,0.097389935,8.13E-07,15.73069335
112570,72208302118,460178,0.039080073,8.02E-07,28.1171401
119218,72208302118,530734,0.038091937,8.03E-07,20.25023331
120068,72208302118,540703,0.035066183,8.04E-07,11.40598433
122027,72208302118,570019,0.039513905,8.22E-07,29.74604245
123636,72208302118,580726,0.262492377,8.32E-07,24.02316739
125545,72208302118,610096,0.045136886,8.25E-07,30.11775891
127156,72208302118,620814,0.037275589,8.25E-07,15.89025304
128209,72208302118,640030,0.036977728,8.10E-07,29.15579515
128830,72208302118,640651,0.038667854,8.19E-07,27.41918854
131013,72208302118,670243,0.043430632,8.26E-07,20.21508868
135546,72208302118,720488,0.036827537,8.24E-07,7.681166278
135991,72208302118,730070,0.035866476,8.16E-07,17.73531095
137770,72208302118,750093,0.046345084,8.03E-07,29.66711703
140066,72208302118,770659,0.040353787,8.09E-07,10.185621
141548,72208302118,790456,0.035687389,8.12E-07,23.58600769
143265,72208302118,810486,0.041158275,8.10E-07,21.92603783
146411,72208302118,850145,0.039455234,8.04E-07,17.62556889
146961,72208302118,850695,0.043431059,8.04E-07,22.92732293
148501,72208302118,870441,0.040372602,8.04E-07,14.33433507
151080,72208302118,900382,0.037731333,8.25E-07,23.34073268
155217,72208302118,950065,0.036215733,8.09E-07,21.49852712
155232,72208302118,950080,0.042600266,7.99E-07,9.330246918
157284,72208302118,970373,0.042616553,8.05E-07,7.695512574
158557,72208302118,980781,0.04880347,8.24E-07,23.82942709
160998,72208302118,1020063,0.036204082,8.23E-07,6.724637813
163917,72208302118,1050291,0.037118475,8.04E-07,15.76029503
166135,72208302118,1070673,0.04412137,8.27E-07,23.86140401
166471,72208302118,1080120,0.036074565,8.04E-07,13.15613718
167621,72208302118,1090361,0.035673073,7.99E-07,22.383284
169570,72208302118,1110561,0.039649611,8.00E-07,20.03302255
172361,72208302118,1140734,0.039003611,8.26E-07,7.182650456
174329,72208302118,1170100,0.056916471,8.26E-07,22.09613562
181060,72208302118,1240685,0.038342099,8.27E-07,16.15454991
182146,72208302118,1260024,0.037988135,8.00E-07,11.34279128
182977,72208302118,1260855,0.035074476,8.24E-07,20.29460813
183114,72208302118,1270101,0.035695351,8.15E-07,14.79391097
187656,72208302118,1320158,0.046051806,8.27E-07,23.66197979
195622,72208302118,1410117,0.035559928,8.28E-07,14.96473412
197529,72208302118,1430246,0.03938767,8.04E-07,17.546425
199375,72208302118,1450357,0.035979506,8.28E-07,16.26131366
204061,72208302118,1500806,0.044424843,8.30E-07,6.915079483
204130,72208302118,1500875,0.037065653,8.04E-07,18.279626
205266,72208302118,1520322,0.037693967,8.16E-07,25.47775564
207236,72208302118,1540577,0.057976507,8.06E-07,11.55644955
208010,72208302118,1550461,0.039557771,8.00E-07,5.072335687
208169,72208302118,1550620,0.036291847,8.11E-07,14.40098321
210429,72208302118,1580159,0.045178171,8.28E-07,17.13245684
211838,72208302118,1590660,0.038699997,8.28E-07,5.754570411
213604,72208302118,1610726,0.045844928,8.08E-07,3.573556293
215252,72208302118,1630558,0.048046593,8.20E-07,20.75365855
215770,72208302118,1640199,0.036688374,8.22E-07,15.81482411
217503,72208302118,1660217,0.04361059,8.01E-07,16.25336669
219393,72208302118,1680292,0.035720918,8.03E-07,15.34132238
225126,72208302118,1750264,0.040583242,8.29E-07,19.00637717
228002,72208302118,1780503,0.042374881,8.27E-07,23.96024682
228133,72208302118,1780634,0.039755294,8.18E-07,18.89730821
229107,72208302118,1790775,0.037714624,8.24E-07,7.119093242
237292,72208302118,1890170,0.845099592,8.11E-07,24.05723602
238007,72208302118,1890885,0.035172722,8.24E-07,7.24483286
239652,72208302118,1910805,0.039498048,8.29E-07,11.5987641
241707,72208302118,1940184,0.036763922,7.98E-07,10.02094414
245767,72208302118,1980766,0.035832556,8.08E-07,20.06941556
246962,72208302118,2000143,0.035581141,8.09E-07,2.44567481
250387,72208302118,2030832,0.074225731,7.97E-07,13.0953722
250931,72208302118,2040443,0.036985595,8.27E-07,6.777863842
258122,72208302118,2120639,0.047510799,8.28E-07,21.17003313
266291,72208302118,2220017,0.044145238,8.15E-07,24.24627055
267614,72208302118,2230441,0.035747406,7.99E-07,17.02946296
271802,72208302118,2280178,0.035624713,8.16E-07,24.01703291
271945,72208302118,2280321,0.035504619,8.29E-07,24.28316647
274768,72208302118,2310474,0.036711518,8.13E-07,19.23011269
277391,72208302118,2340494,0.046225438,7.98E-07,4.999685707
279407,72208302118,2360803,0.038217506,8.07E-07,23.95923016
282394,72208302118,2400267,0.036155026,8.22E-07,20.04412254
283973,72208302118,2420035,0.050376126,8.02E-07,1.978065518
284089,72208302118,2420151,0.036600953,7.99E-07,6.824570948
284392,72208302118,2420454,0.037080147,8.09E-07,24.4981172
284817,72208302118,2430230,0.035852772,8.21E-07,15.70984535
286293,72208302118,2450019,0.039724234,8.18E-07,9.467992335
292693,72208302118,2520138,0.061345932,7.99E-07,12.13572569
295465,72208302118,2550278,0.037977208,7.98E-07,22.43934367
295689,72208302118,2550502,0.03926226,8.29E-07,6.680152935
296607,72208302118,2560526,0.035733854,8.11E-07,20.63147582
297072,72208302118,2570109,0.040441684,8.02E-07,16.67615114
300579,72208302118,2610139,0.040019881,8.19E-07,20.31748044
305940,72208302118,2670238,0.043959084,8.27E-07,18.14582149
307011,72208302118,2680465,0.035537421,8.20E-07,15.2547163
310135,72208302118,2720124,0.036132782,8.09E-07,18.61227609
310954,72208302118,2730120,0.046425578,7.96E-07,22.63429736
315003,72208302118,2770612,0.036640781,8.11E-07,8.025201102
316556,72208302118,2790380,0.036637349,8.18E-07,12.31507995
317194,72208302118,2800119,0.037883768,8.18E-07,15.10740591
322227,72208302118,2850837,0.040433472,8.11E-07,3.410660835
326608,72208302118,2900777,0.035662535,8.18E-07,6.966529443
327703,72208302118,2920143,0.038407447,7.98E-07,20.25511846
331250,72208302118,2960161,0.041680892,8.30E-07,4.105490854
335026,72208302118,3000336,0.036616875,8.07E-07,14.18338446
335242,72208302118,3000552,0.038553324,7.98E-07,23.12444138
339298,72208302118,3050165,0.036736149,8.10E-07,21.70506726
344346,72208302118,3100779,0.051231385,7.98E-07,4.065656074
344356,72208302118,3100789,0.039360085,8.03E-07,25.20485234
346012,72208302118,3120691,0.038708966,8.10E-07,22.6874129
351364,72208302118,3190084,0.036515766,7.97E-07,22.98625972
351856,72208302118,3190576,0.04011408,8.11E-07,25.71333371
352279,72208302118,3200119,0.043462219,8.00E-07,17.3032437
355530,72208302118,3230685,0.043983574,8.27E-07,8.837064139
359052,72208302118,3270718,0.043231579,7.96E-07,6.383357299
363798,72208302118,3330225,0.045692677,8.28E-07,17.78175632
364029,72208302118,3330456,0.039823304,8.28E-07,5.914142896
364243,72208302118,3330670,0.041789167,8.11E-07,25.61968554
364745,72208302118,3340272,0.055747591,8.25E-07,12.7174642
366970,72208302118,3360712,0.253121445,8.25E-07,25.9671681
370216,72208302118,3400443,0.038145596,8.10E-07,9.48633454
371613,72208302118,3420080,0.036586332,8.15E-07,18.26905598
374869,72208302118,3450755,0.038988942,8.07E-07,13.33750945
375392,72208302118,3460425,0.036731108,8.02E-07,7.880464502
375837,72208302118,3460870,0.035214097,8.02E-07,6.514513103
381776,72208302118,3530719,0.037321608,8.05E-07,2.998844383
385214,72208302118,3570705,0.05058691,8.16E-07,11.52339821
