energy,delay
199.8591456539,125
166.3845860864,135
191.283416923,112
81.83643149825,69
152.0497944749,145
112.6825706265,120
78.17897147284,132
142.0068626242,104
65.07806735125,122
81.98190113697,33
69.01400665031,179
54.95237731655,130
59.10381278546,182
56.30275563088,64
69.38366044925,125
144.1110866134,118
58.97368930846,126
112.1188809879,53
68.59500044779,50
115.2149086938,122
67.39203027134,69
54.99266771923,111
101.0747549432,74
96.35352613403,43
140.9158049785,127
143.490637455,74
50.48582901346,66
65.81117474485,159
53.45461604724,70
54.61865230518,99
83.53700723872,142
64.11192587294,134
73.84457077775,124
122.0057892058,117
183.9156593077,128
62.83085745457,137
139.3426378766,154
146.2808514457,175
65.83954185273,146
123.0964754673,121
57.05564433201,111
64.65240007184,153
116.3058706771,76
126.9536963226,62
116.9083845982,181
87.57187218788,135
66.6229135332,87
62.67500025943,168
60.34713077908,38
82.9691006515,36
95.39231711352,145
62.24425394761,128
65.67069581725,51
88.49656821496,124
118.1100688966,103
99.81049861474,41
76.29087860881,84
188.7022923089,162
60.46862157624,73
72.53968826438,168
190.7573968555,51
71.89317822673,133
110.6999933442,91
79.09633993751,170
109.6142794924,122
87.57178815707,41
62.26141063478,132
112.9130999337,109
55.49268280938,132
163.367967789,125
123.5776915308,167
56.70063733536,131
51.41088757986,102
147.8736322141,38
56.5890602786,126
54.84341497811,58
97.38301707663,127
53.08480148898,70
50.82221309658,82
85.56329144276,125
80.28197945377,129
81.45331241038,147
86.48398686547,123
153.1572758831,121
104.8038388698,51
121.6074004271,124
64.65011269407,74
69.87766267292,68
55.7744363806,120
53.41846485056,31
172.4156720338,73
130.292310391,134
70.54877146062,139
83.20531051655,146
59.44584597036,133
54.27260140994,89
97.08014190255,134
90.86322106799,184
71.78406911951,154
60.31212857586,164
134.7928675354,128
65.75705776611,127
60.87332154791,137
138.8199525299,138
98.68744238673,125
73.23751480496,64
50.98189682645,166
142.4113374303,84
118.0304029274,127
146.788416613,164
74.70136767013,77
59.06715268494,154
188.5424302142,122
70.18844103292,83
184.2018479971,128
62.95901917725,41
75.37206606587,125
171.7955355038,123
97.57434927054,175
143.5544585887,132
72.32416708948,152
52.9936860388,105
140.15531048,117
77.77587952674,96
104.2918608445,124
62.81729517692,57
166.1491027997,133
69.91603426131,126
60.87736907769,117
67.53839145404,125
69.66060435334,65
144.7066453676,178
130.2428081125,179
168.5944457824,82
138.2035593254,92
110.4979570224,118
53.84406744787,153
117.3505117685,55
50.7414127207,94
85.52143276698,108
90.52890192427,167
88.15883022488,106
55.96658175108,58
107.5875135006,85
84.12220394364,51
71.28735512106,134
84.09842816371,111
75.70044897564,70
134.6788639288,168
111.9368073103,123
61.30357611305,60
102.6444205936,56
109.1780435694,137
102.1135040769,131
87.47341094879,128
143.5207385009,82
120.106943953,122
186.8207984204,128
109.9502567371,101
182.6354491272,120
106.6262968939,36
197.154496623,83
105.6162413963,59
109.1222343184,34
54.24547509447,105
96.35524352793,164
147.0517040964,129
89.19542261755,132
53.55163437534,73
53.46830358701,154
54.01524596325,71
69.86357133372,35
67.62405938266,45
111.7572355037,75
68.83197629688,85
64.42591622187,155
156.4715425341,126
103.4567582761,132
72.99316559231,134
89.20214951107,128
101.9078006621,46
93.176836755,185
93.41443266269,126
72.78170027371,41
196.1133079111,167
55.50794903393,48
52.01491635238,100
147.31604717,104
141.2850089555,98
106.9568515234,133
113.3039843029,31
195.6098684851,120
156.1166141851,135
64.66128114333,55
127.3363634157,180
177.7367091623,140
96.31039781375,130
136.135387414,170
67.2935407045,170
95.18340826942,45
100.8020455034,39
74.22862002403,146
80.45514731637,120
76.7707319939,133
114.4529728829,42
78.8967582147,126
89.66995421495,150
134.9506908883,168
122.3817410709,36
56.04266161189,39
198.7507548128,56
188.0736792067,131
56.42136413593,133
125.0482824844,128
82.69697391946,165
76.99894456164,132
77.76421844626,95
81.21036807627,107
73.20754334139,129
78.51542588245,136
57.79264897667,57
122.4718510662,72
127.5273005356,120
134.2149374562,134
67.98365567952,118
51.72240849494,135
51.95618445772,128
69.84354638769,92
58.000924908,72
53.00938517345,135
105.5973300856,125
138.7836451853,181
112.6840709338,134
125.5779280722,32
51.00664564382,125
88.71387073008,60
51.20865409607,86
66.85268209771,86
59.66189944384,133
60.64282840586,99
102.7711437822,165
83.67924565627,133
72.15968696669,137
