series,sigma0,lab
07220703_2005,0.0002,-197.3
07220703_2143,0.0002,-197.3
07220706_0836,0.0075,0
07220706_1254,0.0138,-197.3
07220706_1652,0.0122,-197.3
07220706_2041,0.0108,-197.3
07220707_0632,0.0131,-197.3
07220707_1748,0.0221,-197.3
07220707_2149,0.0137,-197.3
07220708_0826,0.0141,-197.3
07220708_1618,0.016,-197.4
07220708_2207,0.013,-197.4
07220709_0926,0.0154,-197.3
07220709_1415,0.0147,-197.3
07220711_1649,0.0163,-197.3
07220826_1536,0.0071,-20.7
07220826_2007,0.0067,-65
07220827_1153,0.0078,-84.3
07220830_1724,0.0105,-85.3
07220830_2033,0.0091,-85
07220831_1002,0.0091,-81
07220831_1846,0.011,-83.9
07220909_2023,0.0065,-20.7
07220910_1210,0.0053,-20.7
07220910_1517,0.0093,-4.1
07220912_1955,0.0097,-66.8
07220913_0814,0.013,-66.8
07220913_1457,0.0149,97.9
07220914_1133,0.0256,97.8
07220916_2059,0.0096,-79.4
07220917_1039,0.0086,-80.2
07220917_2125,0.0079,-80.3
07220919_1723,0.0193,-80.3
07220920_0925,0.0094,-80
07220920_2052,0.0132,-78.9
07220921_0915,0.01,-81.1
07220921_1541,0.0138,-81.4
07220921_2055,0.0243,-81.4
07220925_1006,0.0078,-21.1
07221019_1741,0.0075,-82.6
07221019_2157,0.0068,-82.4
07221020_0849,0.006,-82.4
07221020_1846,0.0015,-82.4
07221025_1751,0.0091,-82.1
07221026_0951,0.0083,-82.1
07221026_2145,0.0083,-82.1
07221027_0915,0.0084,-82.1
07221111_2153,0.0099,-82.2
07221112_0943,0.0085,-82.2
07221112_2249,0.0076,-82.1
07221113_1159,0.0117,-82
07221114_2141,0.0101,-81.8
07221115_0845,0.009,-81.7
07221115_2109,0.0122,-81.7
07221116_1003,0.0074,-81.6
07221118_1404,0.0093,-81.6
07221119_1016,0.0077,-81.5
07221124_1408,0.0217,-8.3
07221124_1603,0.0256,-16.3
07221124_1748,0.0159,-24
07221124_2022,0.0229,-34
